player_id,player_name
202684,Tristan Thompson
2760,Anderson Varejao
202389,Timofey Mozgov
2544,LeBron James
2210,Richard Jefferson
2590,Mo Williams
203898,Tyler Ennis
203953,Jabari Parker
2571,Leandro Barbosa
2733,Shaun Livingston
2738,Andre Iguodala
101106,Andrew Bogut
201574,Jason Thompson
201575,Brandon Rush
201578,Marreese Speights
201939,Stephen Curry
202691,Klay Thompson
203105,Festus Ezeli
203110,Draymond Green
203546,Ian Clark
203949,James Michael McAdoo
203078,Bradley Beal
201600,Omer Asik
202397,Ish Smith
202337,Luke Babbitt
201569,Eric Gordon
201950,Jrue Holiday
202087,Alonzo Gee
201962,Toney Douglas
203076,Anthony Davis
202708,Norris Cole
202690,Jimmer Fredette
201583,Ryan Anderson
201582,Alexis Ajinca
201967,Dante Cunningham
201619,Sasha Kaun
203925,Joe Harris
203084,Harrison Barnes
1626161,Willie Cauley-Stein
201158,Marco Belinelli
202341,James Anderson
200752,Rudy Gay
200765,Rajon Rondo
203112,Quincy Acy
202326,DeMarcus Cousins
201956,Omri Casspi
203463,Ben McLemore
203961,Eric Moreland
203552,Seth Curry
201585,Kosta Koufos
2734,Devin Harris
1626257,Salah Mejri
202338,Kevin Seraphin
204038,Langston Galloway
101181,Jose Calderon
204001,Kristaps Porzingis
2546,Carmelo Anthony
201577,Robin Lopez
203124,Kyle O'Quinn
203921,Cleanthony Early
1626170,Jerian Grant
200811,Lou Amundson
2756,Sasha Vujacic
202682,Derrick Williams
202498,Lance Thomas
201954,Darren Collison
2406,Caron Butler
203963,Shayne Whittington
203923,James Young
204028,Tarik Black
